num_heads,alpha,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw,0,0.6690,0.6084,0.8337,0.4545,0.3884,0.9046
32,10.0,0.6668,0.6057,0.8395,0.4431,0.3805,0.9105
32,15.0,0.6663,0.6048,0.8438,0.4389,0.3779,0.9143
32,20.0,0.6653,0.6035,0.8477,0.4327,0.3740,0.9178
32,25.0,0.6644,0.6022,0.8532,0.4266,0.3692,0.9225
48,10.0,0.6670,0.6058,0.8404,0.4428,0.3800,0.9111
48,15.0,0.6662,0.6045,0.8454,0.4368,0.3764,0.9156
48,20.0,0.6651,0.6031,0.8502,0.4304,0.3712,0.9199
48,25.0,0.6637,0.6013,0.8566,0.4224,0.3656,0.9253
64,10.0,0.6670,0.6055,0.8426,0.4408,0.3792,0.9130
64,15.0,0.6657,0.6039,0.8479,0.4330,0.3733,0.9178
64,20.0,0.6643,0.6021,0.8524,0.4254,0.3662,0.9219
64,25.0,0.6634,0.6009,0.8577,0.4192,0.3615,0.9262
80,10.0,0.6648,0.6027,0.8510,0.4291,0.3705,0.9206
80,15.0,0.6614,0.5992,0.8583,0.4151,0.3597,0.9275
80,20.0,0.6595,0.5964,0.8723,0.4004,0.3490,0.9378
80,25.0,0.6553,0.5923,0.8830,0.3834,0.3354,0.9460
