num_heads,alpha,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw,0,0.6558,0.6507,0.6605,0.6566,0.3595,0.6679
32,10.0,0.6252,0.5918,0.6805,0.4802,0.3265,0.7876
32,15.0,0.5988,0.5603,0.7029,0.3461,0.2780,0.8720
32,20.0,0.5638,0.5315,0.7365,0.2022,0.1849,0.9437
32,25.0,0.5325,0.5115,0.9233,0.0958,0.0965,0.9918
48,10.0,0.6231,0.5888,0.6824,0.4685,0.3231,0.7956
48,15.0,0.5932,0.5553,0.7038,0.3255,0.2646,0.8813
48,20.0,0.5569,0.5262,0.7831,0.1733,0.1614,0.9547
48,25.0,0.5258,0.5079,0.9506,0.0784,0.0798,0.9957
64,10.0,0.6077,0.5707,0.6891,0.3983,0.2958,0.8362
64,15.0,0.5622,0.5308,0.7228,0.2049,0.1852,0.9394
64,20.0,0.5256,0.5078,0.9466,0.0782,0.0794,0.9953
64,25.0,0.5007,0.4950,1.0000,0.0232,0.0237,1.0000
80,10.0,0.6044,0.5679,0.6854,0.3921,0.2900,0.8356
80,15.0,0.5589,0.5284,0.7279,0.1948,0.1759,0.9420
80,20.0,0.5240,0.5069,0.9503,0.0745,0.0758,0.9959
80,25.0,0.4966,0.4929,1.0000,0.0149,0.0153,1.0000
