num_heads,alpha,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw,0,0.7612,0.6938,0.8844,0.6354,0.5835,0.9132
32,10.0,0.7433,0.6672,0.9168,0.5698,0.5384,0.9463
32,15.0,0.7329,0.6544,0.9344,0.5347,0.5134,0.9612
32,20.0,0.7202,0.6409,0.9496,0.4976,0.4830,0.9730
32,25.0,0.7091,0.6301,0.9630,0.4664,0.4556,0.9819
48,10.0,0.7368,0.6592,0.9269,0.5482,0.5233,0.9553
48,15.0,0.7206,0.6415,0.9482,0.4994,0.4849,0.9720
48,20.0,0.7062,0.6273,0.9667,0.4584,0.4499,0.9843
48,25.0,0.6881,0.6122,0.9739,0.4169,0.4137,0.9892
64,10.0,0.7418,0.6655,0.9185,0.5652,0.5352,0.9480
64,15.0,0.7296,0.6509,0.9374,0.5255,0.5063,0.9638
64,20.0,0.7161,0.6370,0.9535,0.4866,0.4735,0.9758
64,25.0,0.7032,0.6251,0.9649,0.4533,0.4445,0.9834
80,10.0,0.7382,0.6608,0.9257,0.5521,0.5259,0.9542
80,15.0,0.7217,0.6426,0.9466,0.5027,0.4877,0.9709
80,20.0,0.7069,0.6281,0.9651,0.4607,0.4519,0.9834
80,25.0,0.6913,0.6148,0.9724,0.4243,0.4197,0.9883
