image_name,prompt,ground_truth,prompt_type,condition,method,response,extracted_answer,p_yes,p_no,p_diff,model_said_yes,model_said_yes_text,is_correct,is_false_positive
normal_1,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.4889092445373535,0.18849129974842072,0.3004179447889328,True,True,False,True
normal_1,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5869140625,0.1566162109375,0.4302978515625,True,True,False,True
normal_1,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.6670697331428528,0.1971854269504547,0.46988430619239807,True,True,False,True
normal_1,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.73193359375,0.1658935546875,0.5660400390625,True,True,False,True
normal_1,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7867576479911804,0.06874611228704453,0.7180115357041359,True,True,True,False
normal_1,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.80322265625,0.06964111328125,0.73358154296875,True,True,True,False
normal_1,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.8768262267112732,0.05783296003937721,0.818993266671896,True,True,True,False
normal_1,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.89111328125,0.055633544921875,0.835479736328125,True,True,True,False
normal_2,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.506062388420105,0.1790378838777542,0.32702450454235077,True,True,False,True
normal_2,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.58837890625,0.15234375,0.43603515625,True,True,False,True
normal_2,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.6676852107048035,0.19583143293857574,0.4718537777662277,True,True,False,True
normal_2,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.71630859375,0.1728515625,0.54345703125,True,True,False,True
normal_2,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.763787031173706,0.08370941877365112,0.6800776124000549,True,True,True,False
normal_2,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.779296875,0.0789794921875,0.7003173828125,True,True,True,False
normal_2,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.8595154881477356,0.07166438549757004,0.7878511026501656,True,True,True,False
normal_2,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.876953125,0.06256103515625,0.81439208984375,True,True,True,False
normal_3,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5386064648628235,0.1604604721069336,0.3781459927558899,True,True,False,True
